COD_BARRAS;PRODUTO_ID;NOMEORDER;FORNECEDOR;LOCALIZACAO;TRIBUTACAO;NCM;ALIQUOTA_NCM;CST_PIS;CST_COFINS;NATUREZA_RECEITA_PIS_COFINS;PADRAO_COMISSAO;DESCONTO_MAXIMO;QUANTIDADEORDER;TABELA;VENDA;PROMOCAO;VALOR_ULT_COMPRA;MARGEM;TOTAL_PRVENDA;TOTAL_PRPROMOCAO;TOTAL_PRCOMPRA
7896422504379;23568;OMEPRAZOL;MEDLEY GENERICOS;;ST;30049069;26,33;04;04;002;0;10;0;63,94;63,939998626709;0;38,1100006103516;67,7774799335516;0;0;0
7896004707419;22949;OMEPRAZOL;GERMED GENERICO;;ST;30049069;0;04;04;002;0;10;0;33,52;33,5200004577637;0;36,1500015258789;-7,27524469461635;0;0;0
7896004701974;33690;OMEPRAZOL;EMS GENERICO;;ST;30049069;0;04;04;002;0;15;0;24,57;24,5699996948242;0;13,6499996185303;80,0000027946501;0;0;0
7898148290093;28998;OMEPRAZOL;PRATI,DONADUZZI;;ST;30049099;26,33;04;04;002;0;10;0;;21,9699993133545;0;31,0300006866455;-29,1975545369234;0;0;0
7898148290147;28997;OMEPRAZOL;PRATI,DONADUZZI;;ST;30049099;26,33;04;04;002;0;10;0;;37,2099990844727;0;25,8600006103516;43,8901709444577;0;0;0
7896422504355;34470;OMEPRAZOL;MEDLEY GENERICOS;;ST;30049069;26,33;04;04;002;0;15;0;23,2;23,2000007629395;0;13,7600002288818;68,6046539028636;0;0;0
7896004709451;34050;OMEPRAZOL;GERMED GENERICO;;ST;30049069;0;04;04;002;0;15;0;69,32;69,3199996948242;0;20,9400005340576;231,041059822704;0;0;0
7896004707389;34052;OMEPRAZOL;GERMED GENERICO;;ST;30049069;26,33;04;04;002;0;15;0;65,97;65,9700012207031;0;20,9400005340576;215,042977737307;0;0;0
7896004707396;34049;OMEPRAZOL;GERMED GENERICO;;ST;30049069;32,09;04;04;002;0;15;0;;25,6399993896484;0;10,460000038147;145,124276253738;0;0;0
7896004707402;34051;OMEPRAZOL;GERMED GENERICO;;ST;30049069;0;04;04;002;0;15;0;;22,1499996185303;0;10,460000038147;111,759077798763;0;0;0
7896422506533;34468;OMEPRAZOL 10 MG CX C/14 CAPS;MEDLEY GENERICOS;;ST;30049099;26,33;04;04;002;0;15;0;23,42;23,4200000762939;15;6,98999977111816;114,59228170476;0;0;0
7896004701998;33685;OMEPRAZOL 10 MG CX C/14 CAPS;EMS GENERICO;;ST;30049069;32,09;04;04;002;0;15;0;29,15;29,1499996185303;9,98999977111816;4,11999988555908;142,475729335185;0;0;0
7898060134147;37200;OMEPRAZOL 20 MG CX C/28 CPR;GLOBO PHARMA;;ST;30039079;0;04;04;002;0;10;0;;21,6000003814697;6,5;1,88999998569489;243,915346518385;0;0;0
7898470681149;38204;OMEPRAZOL 20 MG CX C/28 CPR;HIPOLABOR;;ST;30049069;0;04;04;002;0;10;0;;36,9599990844727;6,90000009536743;2,50200009346008;175,779370008945;0;0;0
7895296211390;35154;OMEPRAZOL 20 MG CX C/28 CPR;NOVA QUIMICA;;ST;30049069;0;04;04;002;0;10;0;;65,9899978637695;5,5;2,07999992370605;164,423086622058;0;0;0
7896422517843;40935;OMEPRAZOL 20 MG CX C/42 CAPS;MEDLEY GENERICOS;;ST;30049069;0;04;04;002;0;10;0;66,65;66,6500015258789;31;22,1800003051758;39,7655526306104;0;0;0
7896112181729;38003;OMEPRAZOL 20 MG CX C/56 CAPS;TEUTO - LABORATORIO TEUTO BRASILEIRO S/A;;ST;30049069;0;04;04;002;0;0;0;42,54;42,5400009155273;13;4,92000007629395;164,227638179071;0;0;0
7898060134154;36194;OMEPRAZOL 20 MG CX C/56 CAPS;GLOBO PHARMA;;ST;30039079;32,09;04;04;002;0;0;0;39,48;39,4799995422363;13;4,13000011444092;214,769967064754;0;0;0
7896472513772;43717;OMEPRAZOL 20 MG CX C/56 CAPS;MULTILAB;;ST;30049069;0;04;04;002;0;0;0;63,21;63,2099990844727;13;3,69000005722046;252,303517572095;0;0;0
7896006214717;44315;OMEPRAZOL 20 MG CX C/56 CAPS;UNIAO QUIMICA COMERCIAL;;ST;30049069;0;04;04;002;3;15;0;45,93;45,9300003051758;13;5,13110017776489;153,356971207348;0;0;0
7899095267442;44730;OMEPRAZOL 20 MG CX C/56 CAPS;GEOLAB IND. FARMACEUTICA LTDA;;ST;30049069;0;04;04;002;0;0;0;26,96;26,9599990844727;13;3,875;235,483870967742;0;0;0
7896523227191;47731;OMEPRAZOL 20 MG CX C/56 CAPS;CIMED;;ST;30039079;0;04;04;002;0;0;0;42,37;42,3699989318848;13;4,96700000762939;161,727400443563;0;0;0
7898216367245;48037;OMEPRAZOL 20 MG CX C/56 CAPS;PHARLAB;;ST;30049069;0;04;04;002;0;0;0;44,22;44,2200012207031;13;4,1100001335144;216,301692887875;0;0;0
7899547520781;38318;OMEPRAZOL 20 MG CX C/60 CAPS;PRATI,DONADUZZI;;ST;30049099;0;04;04;002;0;10;0;;40,1300010681152;8;3,33633327484131;139,784198429053;0;0;0
7899547520798;38319;OMEPRAZOL 20 MG CX C/90 CPR;PRATI,DONADUZZI;;ST;30049099;0;04;04;002;0;10;0;;67,4300003051758;19;4,53916645050049;318,579054264579;0;0;0
7896112149095;21190;OMEPRAZOL 20MG;TEUTO - LABORATORIO TEUTO BRASILEIRO S/A;;ST;30049069;32,09;04;04;002;0;10;0;;24,6499996185303;0;18,3799991607666;34,1131705334755;0;0;0
7895296211352;35155;OMEPRAZOL40 MG CX C/28 CPR;NOVA QUIMICA;;ST;30049069;32,09;04;04;002;0;0;0;;137,539993286133;9,89999961853027;0,0190999992191792;51732,4608547065;0;0;0
7897595603692;33967;OMEPROTEC;HEXA FARMA;;ST;30039079;0;04;04;002;0;15;0;;65,2099990844727;0;38,9900016784668;67,2480027629404;0;0;0
7897595601414;8696;OMEPROTEC 10MG CX C/14 CAPS;HEXA FARMA;;ST;30039079;0;04;04;002;0;10;0;;26,4599990844727;0;13,4799995422363;96,2908010609839;0;0;0
7897595601421;8626;OMEPROTEC 20MG CX C/14 CAPS;HEXA FARMA;;ST;30039079;0;04;04;002;0;10;0;;43,9900016784668;0;22,3799991607666;96,5594429314535;0;0;0
7897595601438;8625;OMEPROTEC 20MG CX C/7 CAPS;HEXA FARMA;;ST;30039079;0;04;04;002;0;10;0;;27,2999992370605;0;13,8900003433228;96,5442661071228;0;0;0
7897595603029;13745;OMEPROTEC 40MG C/7 CAPS;HEXA FARMA;;ST;30039079;0;04;04;002;0;10;0;;44,1100006103516;0;22,4400005340576;96,5686254926999;0;0;0
7898123901693;12916;OMEZOLON 20MG C/28;HIPOLABOR;;ST;30049099;32,09;04;04;002;0;10;0;;22,3199996948242;0;11,8999996185303;87,5630286581546;0;0;0
7898123903710;14970;OMEZOLON 40MG C/7CPR;HIPOLABOR;;ST;30049099;0;04;04;002;0;10;0;;23;0;8,23999977111816;179,1262213455;0;0;0
