COD_BARRAS,PRODUTO_ID,NOMEORDER,FORNECEDOR,LOCALIZACAO,TRIBUTACAO,NCM,ALIQUOTA_NCM,CST_PIS,CST_COFINS,NATUREZA_RECEITA_PIS_COFINS,PADRAO_COMISSAO,DESCONTO_MAXIMO,QUANTIDADEORDER,TABELA,VENDA,PROMOCAO,VALOR_ULT_COMPRA,MARGEM,TOTAL_PRVENDA,TOTAL_PRPROMOCAO,TOTAL_PRCOMPRA,VALOR
7898925965169,22701,VIT. PRO VITA 10ML,PERFUMARIA HIGIENE E LIMPEZA,,ST,33059000,0,4,4,202,0,5,0,,"1,149999976",0,"0,649999976","76,92307974",0,0,0,"1,149999976"
7898925965107,22702,VIT. PRO VITA 10ML,PERFUMARIA HIGIENE E LIMPEZA,,ST,33059000,0,4,4,202,0,5,0,,"1,149999976",0,"0,649999976","76,92307974",0,0,0,"1,149999976"
7898925965114,22703,VIT. PRO VITA 10ML,PERFUMARIA HIGIENE E LIMPEZA,,ST,33059000,0,4,4,202,0,5,0,,"1,149999976",0,"0,649999976","76,92307974",0,0,0,"1,149999976"
7898925965145,22704,VIT. PRO VITA 10ML,PERFUMARIA HIGIENE E LIMPEZA,,ST,33059000,0,4,4,202,0,5,0,,"1,149999976",0,"0,649999976","76,92307974",0,0,0,"1,149999976"
7898925965152,22705,VIT. PRO VITA 10ML,PERFUMARIA HIGIENE E LIMPEZA,,ST,33059000,0,4,4,202,0,5,0,,"1,149999976",0,"0,649999976","76,92307974",0,0,0,"1,149999976"
7898925965084,22706,VIT. PRO VITA 10ML,PERFUMARIA HIGIENE E LIMPEZA,,ST,33059000,0,4,4,202,0,5,0,,"1,149999976",0,"0,649999976","76,92307974",0,0,0,"1,149999976"
7898925965138,22698,VIT. PRO VITA 10ML,PERFUMARIA HIGIENE E LIMPEZA,,ST,33059000,0,4,4,202,0,5,0,,"1,149999976",0,"3,650000095","-68,49315216",0,0,0,"1,149999976"
7898201560071,13589,VIT. REVITAN,PERFUMARIA HIGIENE E LIMPEZA,,ST,33059000,0,4,4,202,0,0,0,,"1,077999949",0,"0,769999981","39,9999969",0,0,0,"1,077999949"
7898912848215,27715,VIT. VENIX 10ML (SKOVE LINE),PERFUMARIA HIGIENE E LIMPEZA,,ST,33059000,0,4,4,202,0,5,0,,"1,200000048",0,"0,600000024",100,0,0,0,"1,200000048"
7898912848413,20407,VIT. VENIX 10ML (SKOVE LINE),PERFUMARIA HIGIENE E LIMPEZA,,ST,33059000,0,4,4,202,0,5,0,,"1,200000048",0,"0,600000024",100,0,0,0,"1,200000048"
7898912848017,19042,VIT. VENIX 10ML (SKOVE LINE),PERFUMARIA HIGIENE E LIMPEZA,,ST,33059000,0,4,4,202,0,5,0,,"1,200000048",0,"0,600000024",100,0,0,0,"1,200000048"
7898912848178,18771,VIT. VENIX 10ML (SKOVE LINE),PERFUMARIA HIGIENE E LIMPEZA,,ST,33059000,"48.0,47",4,4,202,0,5,0,,"1,200000048",0,"0,600000024",100,0,0,0,"1,200000048"
7898912848055,18772,VIT. VENIX 10ML (SKOVE LINE),PERFUMARIA HIGIENE E LIMPEZA,,ST,33059000,"48.0,47",4,4,202,0,5,0,,"1,200000048",0,"0,600000024",100,0,0,0,"1,200000048"
7898912848130,18776,VIT. VENIX 10ML (SKOVE LINE),PERFUMARIA HIGIENE E LIMPEZA,,ST,33059000,"48.0,47",4,4,202,0,5,0,,"1,200000048",0,"0,600000024",100,0,0,0,"1,200000048"
7898912848154,18777,VIT. VENIX 10ML (SKOVE LINE),PERFUMARIA HIGIENE E LIMPEZA,,ST,33059000,"48.0,47",4,4,202,0,5,0,,"1,200000048",0,"0,600000024",100,0,0,0,"1,200000048"
7898912848260,21225,VIT. VENIX 10ML (SKOVE LINE),PERFUMARIA HIGIENE E LIMPEZA,,ST,33059000,0,4,4,202,0,5,0,,"1,200000048",0,"0,600000024",100,0,0,0,"1,200000048"
